Question,Format,Selected Answer,Correct,Time Taken (s)
"move north",camel-case,"moveNorth",Yes,6.90
"jump high",camel-case,"jumpHigh",Yes,6.85
"run fast",camel-case,"runFast",Yes,3.13
"cook dinner",camel-case,"cookDinner",Yes,3.63
"build house",camel-case,"buildHouse",Yes,7.92
"close all windows",camel-case,"closeAllWindows",Yes,7.00
"send a quick message",camel-case,"sendAQuickMessage",Yes,6.77
"eat a red apple",camel-case,"eatARedApple",Yes,4.85
"scan the printed document",camel-case,"scanThePrintedDocument",Yes,8.23
"watch a new movie",camel-case,"watchANewMovie",Yes,3.37
"move north",kebab-case,"move-north",Yes,4.45
"jump high",kebab-case,"jump-high",Yes,4.57
"run fast",kebab-case,"run-fast",Yes,2.98
"cook dinner",kebab-case,"cook-dinner",Yes,2.47
"build house",kebab-case,"build-house",Yes,3.16
"close all windows",kebab-case,"close-all-windows",Yes,3.83
"send a quick message",kebab-case,"send-a-quick-message",Yes,2.25
"eat a red apple",kebab-case,"eat-a-red-apple",Yes,4.47
"scan the printed document",kebab-case,"scan-the-printed-document",Yes,4.18
"watch a new movie",kebab-case,"watch-a-new-movie",Yes,2.57